trait_type,index ,Opensea name,count,% chance,Visual Order,trait_type (opensea name),Index,Name (Opensea Name),Old File Name,Swappable 50% (opensea name),Swappable 50% Type,Visual Order,Always Attached With (No Opensea Trait Name),Always Visual Trait Type,Include Trait in Every File,Notes,Comments,File Name,,Group total percentage
Bass + Chords,1,Analog Solo,16,0.66%,1,Background Color,10,Cherry Slush,Comp 2.mov,,,7,Clear Rainbow Cassette,Cassette,,,,Old Bass 1 (Just Bass 1),6.00%,11.00%
Bass + Chords,1,Analog Type,35,1.43%,1,Background Color,10,Cherry Slush,Comp 2.mov,,,7,Clear Teal Cassette,Cassette,,,,Old Bass 1A,13.00%,
Bass + Chords,2,Funky Solo,16,0.66%,1,Background Color,6,Blurple Swirls,Comp 5.mov,,,7,Clear Yellow Cassette,Cassette,,,,Old Bass 1 (Just Bass 2),6.00%,
Bass + Chords,2,Funky Rewind,24,0.99%,1,Background Color,6,Blurple Swirls,Comp 5.mov,,,7,Clear Gray Cassette,Cassette,,,,Old Bass 1B,9.00%,
Bass + Chords,3,Funky Swell,24,0.99%,1,Background Color,1,Blurple Swirls,Comp 5.mov,,,7,Clear Orange Cassette,Cassette,,,,Old Bass 1C,9.00%,
Bass + Chords,4,Space Solo,27,1.10%,1,Background Color,7,Blurple Circles,Comp 9.mov,,,7,Clear Blue Cassette,Cassette,,,,Old Bass 1 (Just Bass 4),10.00%,
Bass + Chords,4,Space,41,1.65%,1,Background Color,7,Blurple Circles,Comp 9.mov,,,7,Clear Pink Cassette,Cassette,,,,Old Bass 1D,15.00%,
Bass + Chords,5,West Coast Solo,27,1.10%,1,Background Color,4,Pink Swirls,Comp 10.mov,,,7,Clear Red Cassette,Cassette,,,,Old Bass 1 (Just Bass 3),10.00%,
Bass + Chords,5,West Coast,33,1.32%,1,Background Color,4,Pink Swirls,Comp 10.mov,,,7,Clear Blue Cassette 2,Cassette,,,,Old Bass 1E,12.00%,
Bass + Chords,6,Hard Hit,27,1.10%,1,Background Color,2,GreenPurple Pulse,Comp 6.mov,,,7,Clear Rainbow Cassette,Cassette,,,,Old Bass 1F,10.00%,
Bass + Chords,,Walkin Groove Solo,25,1.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 1 (Just Bass 1),10.00%,10%
Bass + Chords,7,Walkin Groove Breezy,125,5.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Teal Cassette,Cassette,,,,New Bass 1A,50.00%,
Bass + Chords,,Walkin Groove Nostalgic,100,4.00%,1,Background Color,3,Rainbow Sherbet,Comp 11.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 1B,40.00%,
Bass + Chords,,Too Thicc Solo,35,1.40%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 1 (Just Bass 2),20.00%,7.00%
Bass + Chords,8,Too Thicc Breezy,78,3.15%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 1C,45.00%,
Bass + Chords,8,Too Thicc Nostalgic,61,2.45%,1,Background Color,5,Limeade,Comp 12.mov,,,7,Clear Blue Cassette,Cassette,,,,New Bass 1D,35.00%,
Bass + Chords,9,Power Solo,21,1%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 2 (Just Bass 1),8.00%,10.50%
Bass + Chords,9,Power Saucey,115,5%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 2A,44.00%,
Bass + Chords,9,Power Swell,126,5%,1,Background Color,9,Twilight,Comp 13.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 2B,48.00%,
Bass + Chords,10,Retro Solo,27,1.10%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 2 (Just Bass 2),22.00%,5.00%
Bass + Chords,10,Retro Saucey,53,2.15%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 2C,43.00%,
Bass + Chords,10,Retro Swell,43,1.75%,1,Background Color,8,Purple Rave,Comp 14.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 2D,35.00%,
Bass + Chords,11,Floating Solo,50,2.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 3 (Just Bass 1),20.00%,10.00%
Bass + Chords,11,Floating Summer,125,5.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 3A,50.00%,
Bass + Chords,11,Floating Sparkle,75,3.00%,1,Background Color,,Sahara Sun,Comp 15.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 3B,30.00%,
Bass + Chords,12,Dirty 808 Solo,18,0.75%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 3 (Just Bass 2),10.00%,7.50%
Bass + Chords,12,Dirty 808 Summer,65,2.63%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Pink Cassette,Cassette,,,,New Bass 3C,35.00%,
Bass + Chords,12,Dirty 808 Sparkle,103,4.13%,1,Background Color,,Sun and Sea,Comp 16.mov,,,7,Clear Red Cassette,Cassette,,,,New Bass 3D,55.00%,
Bass + Chords,13,Drive Solo,15,0.60%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Blue Cassette 2,Cassette,,,,New Bass 3 (Just Bass 3),10.00%,6.00%
Bass + Chords,13,Drive Summer,60,2.40%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Rainbow Cassette,Cassette,,,,New Bass 3E,40.00%,
Bass + Chords,13,Drive Sparkle,75,3.00%,1,Background Color,,Pink and Yellow,Comp 17.mov,,,7,Clear Teal Cassette,Cassette,,,,New Bass 3F,50.00%,
Bass + Chords,14,Smooth Solo,25,1.02%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 4 (Just Bass 1),17.00%,6.00%
Bass + Chords,14,Smooth Coastin,64,2.58%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Yellow Cassette,Cassette,,,,New Bass 4A,43.00%,
Bass + Chords,14,Smooth Pluck,60,2.40%,1,Background Color,,Blue Blender,Comp 18.mov,,,7,Clear Gray Cassette,Cassette,,,,New Bass 4B,40.00%,
Bass + Chords,15,Anthem Solo,43,1.75%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Orange Cassette,Cassette,,,,New Bass 4 (Just Bass 2),25.00%,7.00%
Bass + Chords,15,Anthem Coastin,78,3.15%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Blue Cassette,Cassette,,,,New Bass 4C,45.00%,
Bass + Chords,15,Anthem Pluck,52,2.10%,1,Background Color,,Tropical,Comp 19.mov,,,7,Clear Pink Cassette,Cassette,,,,New Bass 4D,30.00%,
Bass + Chords,16,Spicy Solo,51,2.04%,1,Background Color,,Neon Camo,Comp 20.mov,,,7,Clear Black Cassette,Cassette,,,,New Bass 5 (Just Bass 1),17.00%,12.00%
